Participating Tier 2 
Tier 1 
GIC PCP 
Anthem Preferred Tier 2 
National Committee for Quality Assurance - Patient-Centered Medical Home 
BDC for Maternity Care 
BDC+ for Transplants - Adult Kidney Deceased Donor 
Vision PLUS 
Medicaid Centers of Medical Excellence 
Transplants Liver-living donor (Adult) 
HPP 
BDC for Gene Therapy - Ocular Disorders 
CHDP - Child Health And Disability Prevention Program 
Speedy Referral 
Centers of Medical Excellence Transplants 
Liver-living donor (Pediatric) 
Medicaid Centers of Medical Excellence 
Transplants Auto BMT (Adult) 
Preferred Specialists
